frame_id,vehicle_id,class,x1,y1,x2,y2,confidence
0,1,car,805.03,322.21,1227.78,614.46,0.9754
0,2,car,353.93,287.08,559.63,482.6,0.9525
0,3,car,565.53,119.0,665.02,204.4,0.9419
0,4,rickshaw,923.87,111.39,1041.85,248.93,0.9326
0,5,bike,595.07,175.51,652.01,288.42,0.9302
0,6,car,267.88,191.94,364.71,287.17,0.9184
0,7,rickshaw,793.34,157.79,924.99,297.43,0.9158
0,8,bike,686.47,200.35,763.32,334.76,0.906
0,9,car,499.32,105.67,569.55,169.43,0.9043
0,10,car,302.52,153.73,370.95,211.98,0.9032
0,11,bike,476.16,163.66,520.65,249.45,0.902
0,12,bike,1057.76,224.74,1185.25,430.91,0.8887
0,13,bike,362.36,126.8,385.73,169.28,0.8676
0,14,car,1078.87,60.59,1197.54,151.16,0.8669
0,15,bike,442.7,137.92,473.71,201.69,0.8665
0,16,car,1184.05,61.65,1279.63,160.08,0.8339
0,17,bike,861.88,97.32,908.63,165.59,0.8256
0,18,car,863.92,58.84,970.7,121.6,0.8224
0,19,bike,727.05,75.41,757.82,126.32,0.8089
0,20,bike,698.67,168.75,754.15,251.92,0.7946
0,21,bike,51.64,212.97,69.25,254.91,0.6537
0,22,bike,315.3,71.94,333.21,103.35,0.6461
0,23,car,487.06,86.23,527.41,123.23,0.6328
0,24,rickshaw,593.66,89.04,615.74,118.04,0.621
0,25,car,706.48,46.27,765.72,97.5,0.5271
0,26,bike,34.31,239.72,61.5,292.71,0.5265
0,27,bus,952.76,42.12,1039.76,109.56,0.4987
0,28,car,62.79,187.07,100.93,229.44,0.4569
0,29,car,733.19,55.43,793.78,96.55,0.4501
0,30,bike,593.45,88.88,615.72,118.04,0.4303
0,31,bike,97.69,189.8,121.17,229.9,0.4201
0,32,car,434.5,88.06,465.83,116.0,0.3255
0,33,bike,779.6,68.71,808.81,114.33,0.3117
0,34,rickshaw,0.0,224.47,26.09,291.08,0.2239
0,35,bike,115.24,166.4,137.43,209.09,0.1696
