video_id,vehicle_id,composite_id,class,violations,violation_count,total_fine,currency,speed_limit_kmh,max_speed_kmh,avg_speed_kmh,first_violation_frame,first_violation_sec,best_frame_id
teammate_video,1965,teammate_video_1965,bus,,0,0.0,INR,60.0,,,,,237
teammate_video,1986,teammate_video_1986,car,,0,0.0,INR,60.0,,,,,240
teammate_video,2066,teammate_video_2066,car,,0,0.0,INR,60.0,,,,,272
teammate_video,2072,teammate_video_2072,car,speeding;tailgating,2,2560.0,INR,60.0,92.4,62.9,379,12.63,412
teammate_video,2073,teammate_video_2073,car,,0,0.0,INR,60.0,,,,,249
teammate_video,2085,teammate_video_2085,car,,0,0.0,INR,60.0,,,,,252
teammate_video,2118,teammate_video_2118,car,,0,0.0,INR,60.0,,,,,255
teammate_video,2138,teammate_video_2138,bus,speeding,1,3108.0,INR,60.0,87.7,45.8,263,8.77,259
teammate_video,2159,teammate_video_2159,bike,,0,0.0,INR,60.0,,,,,357
teammate_video,2166,teammate_video_2166,car,speeding;tailgating,2,2595.0,INR,60.0,93.8,38.6,297,9.9,352
teammate_video,2168,teammate_video_2168,bus,,0,0.0,INR,60.0,,,,,261
teammate_video,2169,teammate_video_2169,car,,0,0.0,INR,60.0,,,,,264
teammate_video,2253,teammate_video_2253,bike,,0,0.0,INR,60.0,,,,,286
teammate_video,2282,teammate_video_2282,car,,0,0.0,INR,60.0,,,,,272
teammate_video,2283,teammate_video_2283,bike,,0,0.0,INR,60.0,,,,,306
teammate_video,2318,teammate_video_2318,bike,,0,0.0,INR,60.0,,,,,369
teammate_video,2328,teammate_video_2328,car,,0,0.0,INR,60.0,,,,,279
teammate_video,2392,teammate_video_2392,bike,tailgating,1,350.0,INR,60.0,,,364,12.13,380
teammate_video,2413,teammate_video_2413,car,,0,0.0,INR,60.0,,,,,288
teammate_video,2428,teammate_video_2428,bike,,0,0.0,INR,60.0,,,,,401
teammate_video,2441,teammate_video_2441,car,,0,0.0,INR,60.0,,,,,346
teammate_video,2509,teammate_video_2509,bike,,0,0.0,INR,60.0,,,,,380
teammate_video,2522,teammate_video_2522,car,,0,0.0,INR,60.0,,,,,412
teammate_video,2589,teammate_video_2589,bike,tailgating,1,350.0,INR,60.0,,,375,12.5,412
teammate_video,2615,teammate_video_2615,car,,0,0.0,INR,60.0,,,,,312
teammate_video,2619,teammate_video_2619,bike,,0,0.0,INR,60.0,,,,,317
